Protein,Cluster
P11473,1
P00491,2
P19878,3
Q08050,2
Q9NW38,1
P35520,4
P09104,5
Q8N2W9,1
Q13651,3
P10914,4
P40763,2
P05412,4
P84022,2
Q15796,6
P29460,4
P16234,4
P29459,7
Q9Y5C1,8
P16860,3
Q9H6B4,4
P09238,3
P04843,2
O15173,4
P32927,7
P09874,1
O00238,1
Q8N6K0,1
Q9HC56,3
Q6UX71,1
O14967,5
O60568,5
Q1W4C9,7
Q9BUP3,4
Q8TD46,7
Q9UJJ9,4
Q12846,2
P07988,7
O95168,4
P12821,1
P30740,5
P09603,7
P48058,3
Q8N6G5,7
P50454,4
Q9P109,3
O15031,3
O75871,1
Q13018,3
P05387,1
P01236,3
P02818,4
P05113,1
P21695,4
Q9Y5N5,2
O00206,7
P02452,3
Q14494,1
Q9NQ60,7
Q9NT68,3
Q92922,4
Q96TA2,1
P20823,1
Q15813,6
P51580,3
Q7Z5B4,4
O75460,3
Q15113,3
P10746,2
Q9NZR2,4
Q9UBS5,1
Q99259,1
P28906,1
P49902,2
Q6UXK5,1
Q99523,1
Q9Y3Z3,4
Q9H0M0,2
P15918,1
P49959,4
P42331,6
Q9NPI8,1
P51451,7
P37837,8
Q9H9Q4,1
Q9NQ66,2
Q9GZV4,2
P54819,8
Q99941,3
Q03426,3
Q14289,2
P16930,5
O00151,2
P25686,5
Q8IUC4,1
O14543,1
O43251,1
Q9Y4C8,4
O14791,8
P13987,3
P08397,8
Q9UP52,1
O43524,4
Q92576,1
Q92956,3
Q8N6T3,4
P68106,4
Q8IWI9,3
P20701,4
P29373,5
O60674,2
Q92508,7
P01133,1
P34931,1
Q13148,1
Q16828,3
P42224,8
Q96B67,1
Q13790,5
O15533,2
O95786,1
O43316,1
Q9H8S9,2
Q9H074,4
Q9HB71,6
Q969Q4,2
Q9NXV2,1
Q12830,3
Q9BRJ7,6
O75347,4
P29536,3
Q9Y3E7,2
Q8N668,4
Q86U86,4
Q13137,3
O75771,4
Q8TF42,6
Q13310,6
P20618,3
Q9Y6E0,8
Q9NR48,7
P08754,4
Q07866,2
Q9NTK5,2
Q9BY11,2
Q9NSB8,4
Q9UK32,2
O15143,6
Q8TEK3,1
P50990,6
Q9NRR5,2
O00287,4
O75534,1
Q9UKY1,1
Q9BYV9,3
Q86XI6,4
O15347,3
O95989,1
Q2Y0W8,7
Q9NZQ0,1
P14621,6
Q8NDI1,4
Q15849,4
Q86VK4,1
Q92974,4
Q9NZR1,4
Q99594,1
O75521,2
Q07869,4
O60504,7
Q9NUP9,7
Q99759,7
P46783,1
Q13976,3
P43220,1
Q16665,7
P06703,3
Q92843,1
O43915,5
Q9BQB4,3
P0DML2,1
P98172,4
Q7Z3B1,3
P41182,4
Q12841,8
P10451,4
P01130,7
P52789,4
P19367,3
Q00987,1
P56704,3
Q8N8Q1,3
Q9H2X0,3
Q03431,4
A8MVW0,4
Q01581,8
Q8TBE7,4
P55036,4
O00231,2
P09211,3
O00194,4
Q7Z6M1,1
P78347,7
Q9Y6K8,7
Q92793,5
O94973,8
O60763,4
P41182.1,1
Q9BQ69,1
O75116,2
Q96T60,4
Q9NRA1,1
P05112,7
Q06190,1
P22607,5
P08246,8
P07333,3
Q01344,3
P21695.1,5
P42701,7
Q14515,5
O60259,3
P00734,5
Q15485,8
Q16552,7
O96013,2
P24158,3
P02748,8
P22301,1
P53634,5
P29460.1,7
Q9GZX6,4
P80075,7
Q16851,4
O95363,4
O75899,1
O43432,4
Q9H4G0,6
P21815,3
Q8N474,5
P23560,2
Q99958,1
P01215,3
Q15080,1
Q86UL8,1
P02790,8
P35225,4
Q92484,7
P24592,8
P49771,4
Q99075,2
P26718,1
P01374,3
P26992,1
P01137,3
P35318,3
Q9H7M9,2
P01574,1
P52799,5
Q9UM44,1
P05161,3
O95396,4
O95644,4
P35243,1
Q9NY15,1
P55854,6
P22888,7
Q9UKS6,7
P35236,7
Q15828,8
P20160,1
P02788,1
P13598,5
Q9Y696,6
P02792,5
O60242,1
Q8N8U9,3
Q16832,1
P12104,4
P08637,3
P22466,1
P09488,1
P00338,8
P36952,1
Q99519,5
P58215,2
P00480,3
Q13519,7
P48594,1
Q02297,3
P27487,4
Q13526,2
O75882,4
Q16651,3
P0DJI8,8
P13716,6
P21757,5
P63098,5
P08236,5
P51911,3
P20963,1
P20023,5
O14594,3
P02774,8
P07203,2
Q92743,8
O94992,2
P08887,3
P08727,3
P23443,4
Q8N2Q7,4
P31749,6
Q9H3U7,3
Q03692,1
P12643,1
P12644,1
P15056,4
Q7Z5L3,1
P06401,6
P24298,5
P29353,6
Q9BXR6,8
P11717,5
O75791,4
Q9BXB1,4
Q9UK85,1
P37023,1
P17096,7
P51692,1
P50583,2
P11021,8
P15121,6
P06396,8
P13929,3
Q07108,7
O76074,8
Q9H5V8,3
O43819,1
Q13822,3
Q8N3J6,4
O15455,1
P05186,4
P30043,8
O15075,3
P55075,1
P10092,7
O75475,8
Q9NWT6,1
Q9HD40,7
Q96GG9,5
Q13541,4
P61086,8
P09601,3
Q6FHJ7,5
P00450,3
P20591,1
Q96CM8,2
Q9UMX1,4
Q9NTG7,4
P37108,4
P15529,3
P06727,8
Q86XR7,1
P22309,4
Q16890,7
P78540,7
P08134,6
P14598,4
O15205,3
O15305,6
Q9NVS9,4
O60551,4
P62316,4
Q14790,7
Q14790.1,1
P05062,3
P50440,2
Q9NRV9,8
Q8N6N6,1
Q8IX03,4
Q9H900,3
P13995,4
Q14194,7
P28070,4
Q9Y617,5
P02768,8
O43687,4
Q96Q83,1
P56377,3
Q9HBK9,7
P12830,4
P62380,1
Q13427,4
Q9NUU7,4
P83916,1
P45877,5
Q96EQ0,1
P01266,7
Q9UIV8,4
P49715,7
P02461,5
Q9H4D0,4
Q9UDY4,2
Q8IZP7,4
P28066,3
P25788,1
O94813,5
O75094,3
P28065,4
Q8N8N7,3
P35638,7
P13861,1
P50452,4
Q9UHV8,4
P41236,2
Q15777,4
P07093,6
O43586,1
O43427,4
Q7L9L4,6
O95630,2
P54578,8
Q06187,8
P36639,1
P55263,4
P61020,6
O95816,1
P53999,1
P61077,1
P06132,3
P11413,6
Q9UQB8,1
Q9Y3A3,3
P61978,6
Q92506,3
Q99497,8
Q99497.1,4
Q86Z14,4
O75096,3
P40933,4
P55075.1,7
P53567,7
P19235,1
O60496,6
P31371,1
Q96E17,6
Q92994,1
Q15700,2
P08476,5
P01270,7
P00813,3
P24864,3
Q96EB6,5
P01116,7
Q15907,6
Q969T4,4
P20827,3
P19320,5
O15527,7
Q86WK6,7
P14136,7
Q15560,7
P13591,8
P09871,8
P42229,3
Q9BX74,4
O00161,3
Q6GMV3,2
Q99828,5
Q9NXJ5,4
A6NKN8,1
O14645,7
Q9P2X3,2
P43121,3
Q13145,1
Q14126,8
Q92520,7
Q8NFY4,4
Q8WTV0,1
Q96AP7,2
P30988,4
Q86UN2,3
Q9P121,5
Q9UQ52,3
P43220.1,1
P09234,4
Q8TF65,4
P18846,4
Q9GZZ1,6
Q9ULC3,2
P62263,1
Q96LD8,1
Q9H9R9,3
Q14206,7
Q9BZL1,2
Q96G28,2
Q9NZL4,4
Q7Z5W3,5
Q8TBC4,7
Q13084,1
A2RUC4,2
Q9NS37,1
O00141,4
Q8WUK0,1
Q96B02,4
Q9NSI8,4
Q6ICB0,1
P50453,2
P50225,2
P62913,4
Q9BTZ2,3
Q6IN84,7
Q4VC05,4
Q8TD30,1
Q16612,7
Q96DH6,2
Q96F24,1
Q8TBN0,4
Q8TCS8,2
Q9H777,2
Q16819,2
O14917,3
P49815,1
Q16584,5
P47712,2
O00429,5
Q99717,2
Q9UL45,1
Q16853,8
P55210,1
Q86SG5,7
Q13451,2
Q14896,7
P56962,2
Q9BTM9,3
Q8IXL6,8
Q01064,7
O00308,1
P05120,3
P43146,5
P55290,3
P78509,5
Q495W5,1
O94782,7
Q92560,7
Q9HC62,7
Q92772,2
Q5JSQ8,3
P18615,1
P17081,2
P43308,7
Q712K3,5
Q9H8U3,3
Q8IUK8,3
P03951,5
P41226,6
Q9UBV4,1
P46379,6
P28845,5
P11215,1
P06858,3
P29474,1
Q9Y5A7,2
P80303,4
Q15165,3
P39060,5
O75569,1
Q9UQQ2,4
Q13163,8
Q6EEV6,4
Q12778,3
P30837,1
Q96L46,4
P18847,1
Q8WZ19,3
Q9UBR1,4
Q9Y2Z9,4
P00750,5
Q5T6F0,7
Q07687,1
Q9HB65,1
Q9Y2C4,1
Q9BZS1,4
Q06547,1
Q92551,4
Q9UKI8,1
O43248,3
O43679,1
Q92802,1
Q4G0N4,7
Q16236,1
Q8IWS0,1
P60510,3
Q14691,1
Q86SE5,1
P29558,4
Q9HCK4,5
O75581,1
P21912,4
Q9BSV6,4
P17947,4
Q9UGM6,4
Q96BN2,3
Q8NHR7,7
Q9BVW5,7
P13051,4
O14978,1
O60783,4
Q13043,2
P17676,1
O95166,6
P80098,1
P19875,8
O94992.1,4
P18065,8
Q96SI1,1
O14530,4
Q719H9,1
Q6UWP2,2
Q8NBZ0,7
Q9GZN7,7
Q6AI12,1
Q9UFW8,7
Q6IBS0,6
Q53HC0,3
A6NGB7,1
Q96AB6,3
Q9P2A4,1
Q14135,1
Q5VZV1,1
P35916,3
Q9UBU3,4
Q8N998,1
O60662,4
P17980,2
P31939,2
Q15008,3
Q9BUB5,2
P01031,8
Q7Z6L0,1
Q9BTK6,2
P49841,2
Q96BW5,1
P37231,4
Q14814,4
Q8N427,7
Q9UBL6,1
P0CG13,1
Q9H2A7,5
O15520,1
P11216,6
Q7KZF4,4
Q15276,2
Q86W54,1
O15327,4
P55075.2,4
Q8N1G2,7
A6XGL0,7
Q9UN36,4
Q9Y6X0,1
Q9UMY4,6
Q9H165,1
Q5TDP6,1
Q16799,3
P78556,7
Q9Y5W9,2
Q15041,6
P20042,2
P02743,8
P10721,5
P35625,6
P09327,6
Q15910,7
Q96KC8,4
P35712,1
P63010,2
O14920,4
Q08AM6,1
Q96I24,2
P48382,4
O75146,1
P55072,8
P23368,8
P29144,4
Q9C0B1,3
Q13228,1
Q9Y6H5,4
Q8IY22,2
Q9Y6A9,4
Q9BXU8,4
Q5R372,2
Q04637,2
Q9UDY8,1
P53667,3
Q13568,4
Q5VWP3,7
Q9UBB4,1
P01189,1
P05156,8
P17936,8
P41159,5
P14780,8
P05164,5
P01236.1,5
Q92993,2
Q9BWS9,1
Q01973,5
Q92608,4
P02794,3
O75197,4
Q8NEB9,1
Q16849,3
Q9H4A3,4
Q9BXJ3,3
P01033,8
P15692,5
P41273,7
P33681,1
O15394,3
P01034,3
Q9UJZ1,4
P52803,3
Q15303,7
P09758,1
P30519,1
P41236.1,1
Q08431,4
Q08334,4
P42701.1,1
P78552,4
P31785,2
Q6UX15,3
P36941,5
P22897,5
P07333.1,8
Q04912,4
P68402,2
P17252,6
P32942,4
Q03405,5
P19438,5
Q16288,3
Q02223,3
P07585,3
P06732,3
P00533,5
P08631,6
P14210,5
P10809,6
P01024,5
P24592.1,8
Q16674,3
P14555,2
P13725,3
P16284,3
P02776,8
P07225,5
P05543,8
Q9UNG2,4
P26992.1,3
Q12904,3
Q99062,4
P48788,8
Q9Y286,4
Q15465,1
Q9HC73,3
P02647,5
P20160.1,1
P43026,1
O95750,3
P08833,5
Q14005,5
Q96PD4,1
P16619,3
P08254,7
P09237,5
P00441,4
P04114,4
P36896,7
Q9Y2N7,1
Q15389,6
O00253,4
P33151,5
P78423,3
O43278,5
P14770,3
Q9Y5K2,1
P80188,1
P08581,5
O43291,4
P35590,5
O60488,2
P55008,6
P01031.1,5
P27361,6
P04150,1
Q9BY41,8
P52292,1
Q05655,7
P63000,6
P20226,1
P11387,1
P63279,8
P01011,8
P10643,8
P20273,3
P21741,5
P12004,7
O14788,1
P05121,2
Q7L2Z9,7
P02649,8
Q5T4W7,1
P99999,4
P08684,3
P00746,8
P10912,1
P05019,5
P04070,8
P12272,1
P15514,2
P18075,1
P35520.1,1
P16671,6
Q12860,8
P29279,3
Q02413,5
Q9UNE0,4
P42830,1
P09341,3
P01579,1
Q96F46,5
Q13449,4
P11226,1
P18031,4
Q9Y336,3
Q03167,8
Q969D9,1
P16410,7
P08697,5
P09038,4
P55773,8
Q9NNX6,3
Q9UHD0,5
P01584,4
O14625,4
P10147,1
P02144,3
P09486,8
P55774,8
P22102,1
P48023,1
P00738,8
P24394,7
P26718.1,1
P17931,5
P60568,3
O95998,5
P18428,8
P00742,5
Q99969,5
Q9HAV5,1
P28482,2
Q8NEV9,7
Q9NR28,3
P49767,4
P09429,8
P01589,1
P48061,3
P0CG47,1
P49368,3
Q9UNA0,1
P35475,4
P15848,3
Q02083,3
Q9UHI8,1
Q76LX8,8
P53634.1,1
P25774,5
P08709,8
P06681,5
P54108,7
P98073,1
Q96KP4,3
Q9HCN6,6
P10915,4
P14735,3
P04406,8
P22557,1
Q9NQ76,2
Q9NQ76.1,7
Q9NR71,3
P14543,3
P07093.1,3
P07949,3
P13686,5
Q76M96,3
P02750,1
Q15582,8
P21810,5
P00736,8
Q6YHK3,4
P06734,3
P09326,5
P0CG37,3
P49908,5
Q9NR61,1
P12318,4
P31994,4
O75015,3
P12314,1
P22830,7
P05546,5
O43464,5
Q13007,1
Q14114,4
Q9BY67,3
Q6NW40,4
Q6ZVN8,1
P10646,8
P35442,5
P35443,5
Q03154,5
P01008,8
Q96GD4,4
P13497,5
P49336,3
O96017,7
Q16610,8
Q9UGM5,5
P36969,2
Q9UPY5,3
P05154,8
P48736,5
Q9Y243,8
P53350,1
P00797,8
Q9UHD2,1
P10415,4
Q16548,1
Q9HCJ2,1
Q13557,2
P23946,4
P68400,1
P29320,7
P36888,3
P12544,3
Q13478,5
P10145,4
P06213,5
Q4G0M1,1
P09619,3
Q96GW7,4
P33908,7
P17612,6
P10586,4
P16581,8
O75716,3
O15392,4
P40238,1
P07996,2
P04629,3
P01019,5
P61769,3
P05230,7
O43927,1
P04040,8
P80162,3
P01563,7
P81172,2
O00626,5
Q01469,4
P48061.1,8
Q92583,1
P01282,7
P49190,1
Q4KMQ2,1
P29965,7
O94907,2
P20711,7
Q15848,3
P13500,4
O60609,3
P32970,1
P01009,8
P02765,3
Q14012,3
P42574,6
Q13231,1
Q9BXN2,4
P42892,4
O00602,5
P15586,4
Q04756,5
O95711,3
Q495T6,4
P36507,5
Q14982,5
P30533,5
Q9UIB8,5
P35968,5
P01023,5
P00747,8
P46527,4
P10082,1
P43489,1
P22004,4
P05113.1,3
P04070.1,1
P35354,1
Q02763,4
Q13443,4
Q9BY76,2
Q16790,1
P07451,3
P12277,1
Q9GZV9,4
P21802,1
Q04759,2
P60484,4
O60603,1
P43403,1
O00170,2
P62937,8
Q9NP97,2
O95571,4
P40925,8
Q06830,8
P24666,3
P60900,4
P07202,3
P68036,2
Q14974,6
Q9UK53,2
P20700,1
P07195,2
P18669,6
Q15109,2
P17213,2
P13671,8
P00751,8
P10767,1
P02751,8
P19883,4
Q9NYY1,1
P13232,7
P02778,1
P20783,1
P34130,1
P01127,6
P00747.1,3
P00747.2,5
P03952,8
P24821,5
P61812,1
P00734.1,4
P00749,4
P08603,8
P08253,5
P02787,8
P52209,6
O43488,6
P14550,5
P23528,4
Q9NP79,6
P08069,3
Q01638,5
P14618,6
Q9UNZ2,4
Q8IVD9,1
P27169,1
P30086,2
P62826,2
Q14498,1
P29401,8
P60174,6
Q9H773,5
P29350,2
Q9BXJ7,7
Q9BWV1,3
P02741,8
P05362,4
Q9UIK4,3
Q99988,8
Q07817,3
Q9BWP8,3
Q6UWV6,3
O75356,5
Q96P31,4
Q14515.1,5
P07951,3
P05155,5
P01024.1,3
P21781,2
Q01344.1,3
P20809,1
P39900,4
P04085,2
Q9Y240,5
Q10588,5
P45973,4
P10909,8
Q96DA6,4
Q9UHX3,4
Q9NZU1,4
Q16719,3
P06239,1
P19174,1
O60880,1
P01298,4
P05231,4
P04141,7
P14061,1
P08700,4
P23284,3
P30101,2
P43652,8
P08185,1
Q14624,8
O95881,3
P31947,5
P14151,5
P29317,4
P09919,4
P51654,1
P01583,1
P36894,7
Q13873,4
Q16620,3
P03950,5
P00742.1,5
P01308,7
P80098.1,1
P01275,1
P01024.2,8
Q14019,1
P17813,3
P01042,8
Q99731,1
P03956,8
O14944,4
O95994,1
P04083,6
P07355,4
P06576,3
Q07021,3
P00915,8
P00918,1
P46108,2
Q07507,4
Q01469.1,4
P22455,1
P07359,3
P15428,4
P04196,5
Q16539,2
P04179,8
P26038,1
P43490,4
P00568,8
O00299,6
P16333,1
Q13093,5
P30041,8
P09936,4
Q15181,2
P30566,3
Q86VB7,3
Q8IXJ6,5
P07478,3
P04818,1
Q9NZQ7,1
Q9BZW8,7
Q01151,7
Q01151.1,1
P08174,5
Q9UHF4,1
Q5VWK5,3
P16871,1
P78504,3
Q9Y219,1
Q14108,1
P46531,5
Q92823,1
Q9HDB5,3
P41217,4
Q96MS0,1
Q9NP84,1
Q02241,1
P04035,7
P30405,6
Q08499,1
P29597,3
P27797,4
P15498,2
P51671,5
P00734.2,8
P42081,1
P06702,2
Q92851,4
P16870,4
Q9Y625,4
P22626,4
P18510,3
Q8N0W4,1
Q99983,5
Q01105,5
Q96RJ3,1
P48357,4
P26842,3
Q9Y6Q6,1
P05413,5
P48788.1,8
Q13740,5
P54826,5
P62993,6
O60243,4
P05771,8
P13501,8
P20936,1
P31948,2
Q08629,4
P07339,3
P01133.1,4
Q9Y5U5,1
P11362,4
Q08830,8
P06127,5
Q8NBM8,4
P55081,7
P58499,4
Q9NS98,4
Q9UGN4,5
Q9NQ79,4
Q9H488,2
Q9NZC2,3
Q9Y2I2,4
Q8NBJ5,4
P05160,8
Q14116,4
P14314,2
P01375,1
Q9H4F8,8
P22105,5
Q92854,3
Q9Y6N7,5
Q13510,4
Q9BXP8,1
O95467,1
P02771,1
P55957,4
P01138,1
P01024.3,5
P13385,1
P01588,3
P39905,1
P15260,1
P15248,7
P42702,3
Q96KQ7,4
Q13253,3
P80511,5
P10636,7
P04075,2
P05089,4
Q92934,2
P24534,7
P63241,6
P07492,7
P11142,3
P15531,2
P50542,7
Q06323,4
O43508,4
P01270.1,4
P61278,1
O43557,1
P15907,4
Q9BS26,2
Q9NZK5,5
Q9UKZ9,5
P04637,3
Q9BRR6,3
Q16651.1,3
O43240,4
P42081.1,3
Q96SM3,2
Q8WWZ8,1
Q8NBI6,3
O75973,4
P55103,8
Q86XP6,7
Q7Z5L3.1,4
Q96MK3,3
Q86UW8,1
P40967,3
A6NGN9,3
Q9H2R5,4
P05305,1
Q9Y4K0,1
O15394.1,4
Q9UJA9,4
Q9Y6Z7,4
Q14435,1
P23352,4
Q96FE5,5
Q15063,5
P0CG48,5
P0CG47.1,6
P06307,1
O00469,2
Q13145.1,3
Q9HCN8,4
Q9ULW5,3
Q9BT88,1
Q8N807,1
Q96DB5,2
Q8N475,1
P06729,3
Q8IYS5,7
O75830,1
Q9HBE4,4
Q9UJ68,1
P08217,3
P15169,3
Q06033,3
Q8TDQ0,3
P05000,1
O14994,7
Q9ULH4,7
Q9H3T2,1
P14415,3
P20963.1,1
Q5T7V8,7
Q86WD7,3
Q96HD1,3
P67936,6
P36955,5
P18084,4
Q6UWE3,1
Q13162,4
O43916,4
O95249,4
P02753,8
Q16769,4
Q9H2K0,2
Q68D85,1
O00264,6
Q96KN2,5
P08567,8
P00738.1,8
P04278,8
P04745,3
Q92186,1
P09693,4
Q9P0K1,3
Q13291,4
P19827,8
Q8WXD2,5
Q9ULB5,5
O95727,4
Q9NXW2,4
Q9H819,7
A6NNA5,1
Q68G75,3
P40225,1
P07766,3
Q8N7P1,7
Q9Y287,4
P48740,7
Q8N5K1,1
Q9BUD6,5
P14174,3
P29323,3
P05060,1
Q6X4U4,7
P06276,8
Q14956,3
P0C7M8,1
P00995,4
O00548,3
P04004,5
O95897,8
P59901,3
O00300,5
Q9NWH9,1
P30048,6
P20333,5
Q14118,8
P07492.1,1
Q04721,3
P35222,1
P35222.1,4
Q9BXY4,4
P37840,2
P08294,8
O60930,7
Q12805,3
P41159.1,8
Q14145,1
P01024.4,8
Q6E0U4,4
P09668,5
O95866,1
Q504Y2,3
A6NI73,5
P02786,5
Q13145.2,4
P50591,1
O75121,1
Q8IUL8,4
P27986,1
Q9NXS2,3
P09874.1,1
Q92859,3
Q13586,6
Q14289.1,4
Q8N428,3
O75354,4
Q06413,4
Q6UVK1,1
P09919.1,4
Q96DZ1,3
Q6P179,4
Q9ULB1,4
P49746,3
Q9UHN6,1
Q86U17,8
O95631,4
Q16186,1
Q5VZ66,4
P55854.1,2
P50461,4
P22894,3
P58499.1,5
P04155,3
Q07325,1
P47929,3
O00182,4
P37802,2
P01189.1,1
P36955.1,8
O95954,5
O15031.1,5
P16471,1
Q71RG4,1
P11117,1
Q9P0M4,4
O75509,5
P48061.2,5
P16562,4
P16070,7
Q9Y680,4
P55001,1
P23468,3
O75144,1
P19823,8
Q30KP8,1
P14784,3
Q5T1H1,1
P21583,3
Q8N539,1
P10253,5
Q96PE7,2
Q15661,8
P43235,7
O14519,7
P07911,5
Q969J5,3
P25445,3
P51159,1
O95831,2
Q9NX94,1
Q96PZ7,4
P16083,4
Q8NFT8,1
Q4KMG9,3
Q9NVH1,4
Q9NPR2,4
Q9UPQ9,1
Q07960,1
P00374,4
P49789,4
P15559,4
P35222.2,4
P35609,5
Q99497.2,1
P51946,1
P15121.1,2
P61586,6
P21673,1
P19838,2
P26232,4
P11474,1
Q96FV9,4
P46109,2
Q13426,4
Q8TED9,7
O95271,1
O75899.1,7
Q7Z408,2
